G_IDX,G_NAME,G_ENAME,G_GENRE,G_COMPANY,G_SERVICE,G_PLATFORM,G_DATE,G_SCORE,G_IMG
4103,붉은보석,-, RPG, 엘엔케이로직코리아, 엘엔케이로직코리아, PC온라인,2004-01-08,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/1226_2710.jpg
4104,불멸 온라인,Battle of the Immortals, RPG, 완미시공, 엔도어즈, PC온라인,2010-12-28,0,https://static.inven.co.kr/column/webzine3/gamelogo/2015/0323_8010.jpg
4105,배틀러닝,Battle Learning, 기타, 알파클라우드, -, PC온라인,2011-08-27,0,https://static.inven.co.kr/column/webzine3/gamelogo/2015/0323_2483.jpg
4106,블러드킹덤,-, RPG, 노아시스템, -, PC온라인,2014-12-04,0,https://static.inven.co.kr/column/webzine3/gamelogo/2015/0323_3238.jpg
4107,블리츠2 배틀라인,Blitz 2 Battle Line, 시뮬레이션, 크리엔트, 크리엔트, PC온라인,2013-07-18,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/1226_1361.jpg
4108,큐플레이,Q Play, 기타, 넥슨, 넥슨, PC온라인,2003-01-16,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/1226_1481.jpg
4109,큐 온라인,Cue Online, 스포츠, 해피네이션, KTH, PC온라인,2007-05-21,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/0821_6671.jpg
4110,퀸스블레이드,-, RPG, 라이브플렉스, 엠게임, PC온라인,2012-07-17,0,https://static.inven.co.kr/column/webzine3/gamelogo/2012/0730_8276.jpg
4111,퀘이크 라이브,Quake live, FPS, 이드 소프트웨어, 이드 소프트웨어," PC온라인, PC패키지",2009-02-25,0,https://static.inven.co.kr/column/webzine3/gamelogo/2015/0319_7279.jpg
4112,쿵푸히어로,KUNG FU HERO, RPG, 공중망, 라이브플렉스, PC온라인,2013-12-30,0,https://static.inven.co.kr/column/webzine3/gamelogo/2014/0106_5367.jpg
4113,반 온라인,Vann Online, RPG, 공중 네트워크, 드래곤플라이, PC온라인,2012-03-28,0,https://static.inven.co.kr/column/webzine3/gamelogo/2012/0215_7251.jpg
4114,바둑nTV,-, 보드, 넷마블, 넷마블, PC온라인,2007-01-30,0,https://static.inven.co.kr/column/webzine3/gamelogo/2015/0317_6295.jpg
4115,인피니트 크라이시스,Infinite Crysis, AOS, 터바인 엔터테인먼트, 워너브로스 인터랙티브, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/0326_5559.jpg
4116,이터널 시티3,Eternal City3, RPG, 몬스터넷, 몬스터넷, PC온라인,2015-02-05,0,https://static.inven.co.kr/column/webzine3/gamelogo/2015/0313_3695.jpg
4117,이클립스 온라인,Eclipse Online, RPG, 엔돌핀소프트, 플레이위드, PC온라인,2014-11-19,0,https://static.inven.co.kr/column/webzine3/gamelogo/2015/0313_8273.jpg
4118,4스토리,4STORY Online, RPG, 재미인터랙티브, 재미인터랙티브, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/1226_6012.jpg
4119,풋볼 레전드,Football Legend, 스포츠, 네오비앙, 네오비앙, PC온라인,2014-03-11,0,https://static.inven.co.kr/column/webzine3/gamelogo/2014/0121_2789.jpg
4120,에이카 온라인,-, RPG, 조이임팩트, 한빛소프트, PC온라인,2009-02-24,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/0302_1008.jpg
4121,퍼피레드,Puppyred, 액션, 트라이디 커뮤니케이션, NHN 엔터테인먼트, PC온라인,2004-02-12,0,https://static.inven.co.kr/column/webzine3/gamelogo/2015/0312_2892.jpg
4122,에어워즈,Air Wars, 슈팅, 마상소프트, -, PC온라인,2015-01-29,0,https://static.inven.co.kr/column/webzine3/gamelogo/2014/0716_1849.gif
4123,팬저 제너럴 온라인,Panzer General Online, 시뮬레이션, 유비소프트, 유비소프트, 웹브라우저,2014-05-07,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/0820_7957.jpg
4124,의천온라인,-, RPG, 엔터메이트, 엔터메이트, 웹브라우저,2012-11-09,0,https://static.inven.co.kr/column/webzine3/gamelogo/2015/0311_7585.jpg
4125,컴퍼니 오브 히어로즈 온라인,Company of Heroes Online, RTS, 렐릭 엔터테인먼트, JUNEiNTER, PC온라인,2010-04-27,0,https://static.inven.co.kr/column/webzine3/gamelogo/2009/1008_5232.jpg
4126,컴뱃암즈,Combat Arms, FPS, 넥슨, 넥슨, PC온라인,2007-11-15,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/0614_4316.jpg
4127,캐리비안의 해적 온라인,Pirates of the Caribbean Online, RPG, 디즈니 인터랙티브, 디즈니 인터랙티브, PC온라인,2007-10-31,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/0327_1345.jpg
4128,캐스팅 온라인,-, 리듬액션, 나인버드게임즈, 와이디온라인, PC온라인,2014-10-24,0,https://static.inven.co.kr/column/webzine3/gamelogo/2015/0311_2703.jpg
4129,아크로드2,Archlord2, RPG, 웹젠, 웹젠, PC온라인,2013-10-17,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/1204_8749.jpg
4130,카오스온라인,Chaos Online, AOS, 네오액트, 세시소프트, PC온라인,2011-11-29,0,https://static.inven.co.kr/column/webzine3/gamelogo/2012/0106_1014.jpg
4131,카오스 워,Kaos War, RPG, 섀터드 리얼리티 인터랙티브, 섀터드 리얼리티 인터랙티브, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/1226_3015.jpg
