G_IDX,G_NAME,G_GENRE,G_COMPANY,G_SERVICE,G_PLATFORM
8274,파인딩 네버랜드 온라인,RPG,X-Legend Entertainment,그라비티,PC온라인
8275,코스프레 파인드 잇,RPG,플레이씨,플레이씨,iOS
8276,라쳇 & 클랭크: All 4 One,RPG,-,SONY,PS3
8277,DK 온라인,RPG,마상소프트,마상소프트,PC온라인
8278,Great Master,RPG,아이덴티티 엔터테인먼트,-,PC온라인
8279,파이널 미션,슈팅,에픽게임즈,쿤룬코리아,PC온라인
8280,STEEL BATTLE CHRONICLES(C21),RPG,사이버스텝,-,PC온라인
8281,파워업 히어로즈,액션,유비소프트,인트라게임즈,XBOX360
8282,춘추전국시대,시뮬레이션,텐센트,텐센트,웹브라우저
8283,키넥트 애니멀스 곰 친구들과 함께,액션,마이크로소프트,마이크로소프트,XBOX360
8284,Afterfall : insanity,RPG,macrogmaes,-,PC패키지/ PS3/ XBOX
8285,열혈강호2,RPG,KRG소프트,엠게임,PC온라인
8286,엠플독,RPG,레이니데이즈,-,모바일
8287,드래곤볼Z 얼티밋 천하제일,RPG,반다이남코 엔터테인먼트,-,PS3
8288,필드러너,기타,서브아토믹 스튜디오,-,모바일/ 안드로이드
8289,김구라 맞고,보드,루노소프트,-,모바일
8290,레드 데드 리뎀션 GOTY,어드벤쳐,락스타 게임즈,인플레이 인터렉티브,PS/ XBOX
8291,컴투스프로야구2012,스포츠,컴투스,컴투스,기타
8292,진주만,시뮬레이션,픽토소프트,픽토소프트,모바일
8293,인피니티블레이드2,RPG,에픽게임즈,-,iOS
8294,이디엄 블레이드,RPG,알파클라우드,-,모바일
8295,피크민,기타,한국닌텐도,한국닌텐도,Wii
8296,철권하이브리드,RPG,반다이남코 엔터테인먼트,-,PS3
8297,건담 익스트림 버서스,시뮬레이션,반다이남코 엔터테인먼트,인트라게임즈,PS3
8298,홈런 배틀 2,RPG,컴투스,컴투스,iOS
8299,아케인 모바일,RPG,플레이웍스,-,모바일
8300,슬라콘,RPG,브로드콘,브로드콘,모바일
8301,피기 어드벤쳐,어드벤쳐,컴투스,컴투스,모바일
9134,크로스히어로,어드벤쳐,엠조이넷,엠조이넷,모바일
9135,굴려쌓아뽀샤,퍼즐,인터세이브,인터세이브,iOS
9136,데드투라이츠: 리트리뷰션,RPG,반다이남코 엔터테인먼트,반다이남코 엔터테인먼트,PC패키지
9137,시아,RPG,태울 엔터테인먼트,태울 엔터테인먼트,PC온라인
9138,비욘드 더 바운즈,어드벤쳐,EA모바일,EA모바일,모바일/ 안드로이드
9139,씨파이트,RPG,빅포인트,엠게임,웹브라우저
9140,유희왕 5D’s 월드 챔피언십 2010,RPG,코나미,대원미디어,NDS
9141,메탈 베이블레이드 사이버 페가시스,RPG,코나미,코나미,NDS
9142,래그돌,퍼즐,-,-,iOS
9143,FIFA 2010 World Cup South Afrca,스포츠,일렉트로닉아츠,일렉트로닉아츠,PS3/ XBOX360
